,PLAYER_ID,SHOT_ZONE_RANGE,SHOT_PERCENTAGE,SHOT_COUNT_MADE,SHOT_RANGE_BIN
495,201572,16-24 ft.,0.46153846153846156,36,16
496,201572,24+ ft.,0.0,0,24
497,201572,8-16 ft.,0.4127906976744186,71,8
498,201572,Less Than 8 ft.,0.5466666666666666,123,0
499,201573,16-24 ft.,0.48148148148148145,13,16
500,201573,24+ ft.,0.42,42,24
501,201573,8-16 ft.,0.5714285714285714,8,8
502,201573,Less Than 8 ft.,0.43478260869565216,20,0
503,201574,16-24 ft.,0.5,1,16
504,201574,8-16 ft.,0.14285714285714285,1,8
505,201574,Less Than 8 ft.,0.5263157894736842,10,0
506,201575,16-24 ft.,0.5714285714285714,8,16
507,201575,24+ ft.,0.475,38,24
508,201575,8-16 ft.,0.25,2,8
509,201575,Less Than 8 ft.,0.40625,13,0
510,201577,16-24 ft.,0.25,4,16
511,201577,8-16 ft.,0.3695652173913043,17,8
512,201577,Less Than 8 ft.,0.5761316872427984,140,0
513,201578,16-24 ft.,0.4084507042253521,29,16
514,201578,24+ ft.,0.3,3,24
515,201578,8-16 ft.,0.42105263157894735,8,8
516,201578,Back Court Shot,0.0,0,50
517,201578,Less Than 8 ft.,0.32857142857142857,23,0
518,201579,16-24 ft.,0.32608695652173914,15,16
519,201579,24+ ft.,0.0,0,24
520,201579,8-16 ft.,0.45454545454545453,20,8
521,201579,Less Than 8 ft.,0.504424778761062,57,0
522,201580,16-24 ft.,0.5,3,16
523,201580,8-16 ft.,0.2,2,8
524,201580,Less Than 8 ft.,0.6891891891891891,51,0
525,201581,16-24 ft.,0.5,4,16
526,201581,8-16 ft.,0.26666666666666666,4,8
527,201581,Less Than 8 ft.,0.5932203389830508,35,0
528,201582,16-24 ft.,0.5348837209302325,23,16
529,201582,24+ ft.,0.0,0,24
530,201582,8-16 ft.,0.3,6,8
531,201582,Less Than 8 ft.,0.5873015873015873,37,0
532,201583,16-24 ft.,0.5,38,16
533,201583,24+ ft.,0.3776595744680851,71,24
534,201583,8-16 ft.,0.3787878787878788,25,8
535,201583,Back Court Shot,0.0,0,50
536,201583,Less Than 8 ft.,0.4897959183673469,72,0
537,201584,16-24 ft.,0.48,36,16
538,201584,24+ ft.,0.3253012048192771,27,24
539,201584,8-16 ft.,0.42,21,8
540,201584,Less Than 8 ft.,0.5833333333333334,42,0
541,201585,8-16 ft.,0.4,16,8
542,201585,Less Than 8 ft.,0.5705128205128205,89,0
543,201586,16-24 ft.,0.496,62,16
544,201586,24+ ft.,0.3835616438356164,28,24
545,201586,8-16 ft.,0.5531914893617021,26,8
